course_id,course_name,department,description,credits,difficulty,skills,prerequisites,hours_per_week,semester,level,faculty_id
CS101,Programming Fundamentals,Computer Science,"Introduction to Python programming, variables, loops, and functions.",3,Beginner,Python|Problem Solving,None,4,Fall & Spring,Undergraduate,FAC_01
CS102,Data Structures & Algorithms,Computer Science,"Arrays, linked lists, trees, graphs, sorting, and algorithmic complexity.",4,Intermediate,Algorithm Design|Problem Solving,CS101,5,Fall & Spring,Undergraduate,FAC_01
AI101,Introduction to Artificial Intelligence,Computer Science,"Fundamental concepts of AI, search algorithms, logic, and intro to ML.",4,Intermediate,Python|Machine Learning|Algorithm Design,CS101,4,Fall & Spring,Undergraduate,FAC_02
AI201,Applied Machine Learning,Computer Science,"Supervised, unsupervised learning, model evaluation, scikit-learn, and feature engineering.",4,Intermediate,Python|Machine Learning|Probability & Statistics|Data Analysis,AI101,5,Fall,Undergraduate,FAC_02
AI301,Deep Learning & Neural Networks,Computer Science,"Deep architectures, PyTorch, CNNs, Transformers, and optimization methods.",4,Advanced,Deep Learning|Python|Calculus & Optimization|Linear Algebra,AI201,6,Spring,Undergraduate,FAC_02
AI302,Computer Vision & Visual Reasoning,Computer Science,"Image processing, object detection, segmentation, and 3D vision.",3,Advanced,Computer Vision|Deep Learning|Python,AI301,5,Spring,Undergraduate,FAC_03
AI303,Natural Language Processing & LLMs,Computer Science,"Text processing, sequence models, Transformers, RAG, and LLM fine-tuning.",4,Advanced,Natural Language Processing|Generative AI|Deep Learning|Python,AI301,6,Fall,Graduate/Senior,FAC_02
AI401,Reinforcement Learning & Decision Making,Computer Science,"Markov decision processes, Q-learning, policy gradients, and multi-agent systems.",4,Advanced,Reinforcement Learning|Python|Probability & Statistics,AI201,6,Spring,Graduate/Senior,FAC_04
CS205,Database Systems & SQL Processing,Computer Science,"Relational algebra, SQL, indexing, transaction processing, and query planning.",3,Intermediate,SQL & Relational DBs|Backend Architecture,CS102,4,Fall,Undergraduate,FAC_05
CS310,Full-Stack Web Development,Computer Science,"Building modern web apps using Next.js, React, TypeScript, and FastAPI.",3,Intermediate,Next.js & React|TypeScript|FastAPI|UI/UX Design,CS101,5,Fall & Spring,Undergraduate,FAC_06
CS320,Cloud Computing & MLOps,Computer Science,"Cloud architectures, Docker containerization, CI/CD pipelines, and MLflow.",3,Intermediate,Docker & Containers|MLOps|Cloud Computing (AWS/Azure),CS102,4,Spring,Undergraduate,FAC_06
CS400,Cybersecurity & Network Defense,Computer Science,"Network security protocols, cryptography, web security, and threat analysis.",3,Intermediate,Cybersecurity Basics|Problem Solving,CS102,4,Fall,Undergraduate,FAC_07
DE101,Data Engineering Fundamentals,Data Science,"ETL pipelines, Databricks Unity Catalog, Spark DataFrames, and Delta Lake.",4,Intermediate,Databricks Unity Catalog|Spark & Distributed Data|SQL & Relational DBs|Python,CS205,5,Fall,Undergraduate,FAC_05
DS202,Applied Probability & Statistics for Data Science,Data Science,"Statistical modeling, probability distributions, hypothesis testing, and regression.",4,Intermediate,Probability & Statistics|Data Analysis|Python,CS101,4,Fall & Spring,Undergraduate,FAC_08
MATH201,Linear Algebra for Machine Learning,Mathematics,"Vector spaces, matrices, SVD, eigenvalues, and applications in AI.",4,Intermediate,Linear Algebra|Math,CS101,4,Fall & Spring,Undergraduate,FAC_08
MATH202,Multivariable Calculus & Optimization,Mathematics,"Gradients, partial derivatives, Hessian matrices, and convex optimization.",4,Intermediate,Calculus & Optimization|Math,MATH201,4,Fall & Spring,Undergraduate,FAC_08
ROB201,Introduction to Robotics & Control,Robotics,"Kinematics, sensors, microcontrollers, ROS, and motion planning.",4,Intermediate,Robotics & Embedded Systems|C++|Problem Solving,CS101,5,Fall,Undergraduate,FAC_09
ROB301,Autonomous Systems & Edge AI,Robotics,"Sensor fusion, SLAM, edge neural network deployment, and embedded vision.",4,Advanced,Edge Computing|Robotics & Embedded Systems|Computer Vision,ROB201,6,Spring,Senior,FAC_09
ECE210,Digital Signal Processing,Electrical Eng,"Continuous and discrete signals, Fourier transform, and digital filters.",3,Intermediate,Signal Processing|Linear Algebra,MATH201,4,Fall,Undergraduate,FAC_10
BUS101,Introduction to Tech Entrepreneurship,Business,"Opportunity discovery, business canvas, pitching, and launching tech MVPs.",3,Beginner,Entrepreneurship|Venture Pitching|Leadership,None,3,Fall & Spring,Undergraduate,FAC_11
BUS202,Product Management for Software,Business,"Product roadmapping, user personas, sprint planning, and product analytics.",3,Intermediate,Product Management|UI/UX Design|Technical Writing,BUS101,3,Spring,Undergraduate,FAC_11
ETH301,"Ethics, Bias & Policy in AI",Humanities,"Social impact of automated systems, algorithmic bias, privacy, and governance.",3,Intermediate,Ethics in AI|Technical Writing|Public Speaking,None,3,Spring,Undergraduate,FAC_12
FIN201,Quantitative Finance & Trading Systems,Finance,"Financial time series, Black-Scholes model, algorithmic trading strategies.",3,Intermediate,Quantitative Finance|Probability & Statistics|Python,DS202,4,Fall,Undergraduate,FAC_13
BIO210,Computational Genomics & Bioinformatics,Bioinformatics,"DNA sequencing algorithms, protein structure prediction, and biological datasets.",4,Intermediate,Bioinformatics|Python|Data Analysis,CS101,5,Spring,Undergraduate,FAC_14
CS103,Object-Oriented Design in C++,Computer Science,"Classes, inheritance, polymorphism, and memory management.",3,Intermediate,Problem Solving|Algorithm Design,CS101,4,Spring,Undergraduate,FAC_01
CS210,Operating Systems Architecture,Computer Science,"Processes, threads, memory management, file systems, and concurrency.",4,Intermediate,Problem Solving|Backend Architecture,CS102,5,Fall,Undergraduate,FAC_07
CS220,Computer Networks & Protocols,Computer Science,"TCP/IP, routing algorithms, HTTP/2, and socket programming.",3,Intermediate,Backend Architecture|Networking,CS102,4,Spring,Undergraduate,FAC_07
CS330,Compiler Design & Program Analysis,Computer Science,"Lexical analysis, parsing, AST generation, and code optimization.",4,Advanced,Algorithm Design|TypeScript,CS102,5,Fall,Senior,FAC_01
CS340,Distributed Systems & Microservices,Computer Science,"Consensus algorithms, Raft, gRPC, load balancing, and fault tolerance.",4,Advanced,Backend Architecture|Cloud Computing (AWS/Azure),CS210,6,Spring,Senior,FAC_06
DS101,Introduction to Data Science,Data Science,"Data manipulation with Pandas, exploratory data analysis, and visualization.",3,Beginner,Python|Data Analysis|Data Visualization,None,3,Fall & Spring,Undergraduate,FAC_08
DS301,Big Data Analytics with Apache Spark,Data Science,"Distributed dataframes, PySpark, streaming analytics, and Delta Lake.",4,Advanced,Spark & Distributed Data|Databricks Unity Catalog|Cloud Data Pipelines,DE101,5,Spring,Graduate/Senior,FAC_05
DS302,Time Series Analysis & Forecasting,Data Science,"ARIMA models, Prophet, LSTM networks for sequential data forecasting.",3,Intermediate,Data Analysis|Machine Learning|Probability & Statistics,DS202,4,Fall,Undergraduate,FAC_08
AI402,Generative AI Systems & Agentic Workflows,Computer Science,"Building autonomous agents, tool calling, multi-agent frameworks, and vector search.",4,Advanced,Generative AI|Natural Language Processing|Python|FastAPI,AI303,6,Spring,Graduate/Senior,FAC_02
AI403,AI for Healthcare & Medical Imaging,Computer Science,"3D medical image segmentation, clinical NLP, and diagnostic prediction models.",4,Advanced,Computer Vision|Deep Learning|Bioinformatics,AI302,5,Fall,Graduate/Senior,FAC_03
DES101,Human-Centered Design & Prototyping,Design,"User research, wireframing in Figma, and usability testing.",3,Beginner,UI/UX Design|Human-Computer Interaction,None,3,Fall & Spring,Undergraduate,FAC_15
DES201,Advanced Interactive Prototyping,Design,"Micro-interactions, animation design, and component design systems.",3,Intermediate,UI/UX Design|Next.js & React|Human-Computer Interaction,DES101,4,Spring,Undergraduate,FAC_15
BUS201,Tech Startup Finance & Valuation,Business,"Cap tables, seed funding, venture capital metrics, and financial modeling.",3,Intermediate,Venture Pitching|Entrepreneurship,BUS101,3,Fall,Undergraduate,FAC_11
BUS301,Go-To-Market & Growth Hacking,Business,"Customer acquisition, SEO, viral marketing loops, and analytics.",3,Intermediate,Product Management|Data Analysis,BUS101,3,Spring,Undergraduate,FAC_11
CYB201,Ethical Hacking & Penetration Testing,Security,"Vulnerability assessment, network sniffing, exploit payloads, and web security.",4,Intermediate,Cybersecurity Basics|Python,CS400,5,Spring,Undergraduate,FAC_07
CYB301,Applied Cryptography & Zero-Knowledge,Security,"RSA, Elliptic Curves, ZK-SNARKs, and cryptographic protocols.",4,Advanced,Cybersecurity Basics|Linear Algebra|Math,CS400,5,Fall,Senior,FAC_07
PHYS201,Quantum Information Science Fundamentals,Physics,"Qubits, quantum gates, entanglement, and quantum circuit design.",4,Advanced,Quantum Computing Basics|Linear Algebra,MATH201,5,Fall,Senior,FAC_16
ENG101,Academic & Technical Writing Excellence,Humanities,"Structuring scientific articles, literature reviews, and grant proposals.",2,Beginner,Technical Writing|Research Methods,None,2,Fall & Spring,Undergraduate,FAC_12
ENG201,Persuasive Public Speaking & Debate,Humanities,"Speech delivery, argumentation, audience engagement, and debate tactics.",2,Beginner,Public Speaking|Leadership,None,2,Fall & Spring,Undergraduate,FAC_12
ROB202,Embedded Systems & IoT Networks,Robotics,"Microcontroller programming, MQTT, wireless sensor networks.",3,Intermediate,Robotics & Embedded Systems|Docker & Containers,CS101,4,Fall,Undergraduate,FAC_09
MATH301,Bayesian Statistics & Inference,Mathematics,"Prior distributions, MCMC sampling, PyMC, and Bayesian modeling.",4,Advanced,Probability & Statistics|Python|Data Analysis,DS202,5,Spring,Senior,FAC_08
MATH302,Convex Optimization for Engineering,Mathematics,"Convex sets, duality, interior-point methods, and solver libraries.",4,Advanced,Calculus & Optimization|Linear Algebra,MATH202,5,Fall,Graduate/Senior,FAC_08
CS450,Parallel Computing & GPU Programming,Computer Science,"CUDA programming, OpenMP, MPI, and GPU kernel optimization.",4,Advanced,Problem Solving|Algorithm Design,CS102,6,Spring,Senior,FAC_01
CS460,Advanced Distributed Storage & Consensus,Computer Science,"Distributed hash tables, Paxos, Raft, and distributed file systems.",4,Advanced,Backend Architecture|Algorithm Design,CS340,5,Fall,Senior,FAC_01
AI460,Multi-Agent Systems & Swarm Intelligence,Computer Science,"Cooperative AI, emergent behavior, and distributed multi-agent RL.",4,Advanced,Reinforcement Learning|Generative AI,AI401,5,Spring,Graduate/Senior,FAC_02
AI450,"AI Safety, Alignment & Robustness",Computer Science,"Adversarial attacks, red-teaming LLMs, reward modeling, and RLHF.",4,Advanced,Ethics in AI|Generative AI|Reinforcement Learning,AI303,5,Spring,Graduate/Senior,FAC_02
DS450,Applied Spatial Data Science & GIS,Data Science,"Geospatial data analysis, QGIS, Folium, and spatial statistics.",3,Intermediate,Data Analysis|Python,DS101,4,Fall,Undergraduate,FAC_08
