research_id,title,description,domain,faculty,department,skills,prerequisites,difficulty,hours_per_week,duration,lab,availability,related_courses
RES_01,Autonomous Navigation & Perception for Edge Robotics,Developing real-time vision SLAM and lightweight neural net models for autonomous drone navigation.,Artificial Intelligence & Robotics,Prof. Aris Thorne,Computer Science,Computer Vision|Deep Learning|Robotics & Embedded Systems|Python,AI302|ROB201,Advanced,6,1 Semester (15 weeks),FACIL_01,Open,AI302|ROB301
RES_02,Databricks Genie Agentic Workflow Optimization,Investigating natural language text-to-SQL translation reliability and multi-agent intent routing.,AI & Data Engineering,Prof. Elena Vance,Computer Science,Generative AI|Databricks Unity Catalog|Natural Language Processing|Python|SQL & Relational DBs,AI303|DE101,Advanced,6,1 Year,FACIL_02,Open,AI402|DE101
RES_03,Self-Supervised Vision Transformers for Bio-Medical Imaging,Designing self-supervised transformer backbones for high-resolution MRI diagnostic segmentation.,Medical AI,Prof. Marcus Lin,Computer Science,Deep Learning|Computer Vision|Bioinformatics|Python,AI301,Advanced,5,2 Semesters,FACIL_01,Open,AI403|AI302
RES_04,Reinforcement Learning for Multi-Agent Logistics Scheduling,Developing scalable PPO algorithms for dynamic fleet management and supply chain routing.,Artificial Intelligence,Prof. Aris Thorne,Computer Science,Reinforcement Learning|Python|Probability & Statistics|Algorithm Design,AI401,Advanced,6,1 Semester,FACIL_01,Open,AI401
RES_05,Fairness & Bias Mitigation in Algorithmic Credit Scoring,Auditing commercial financial ML models for demographic disparity and implementing SHAP explainability.,AI Ethics & Finance,Prof. Sarah Jenkins,Humanities & Business,Ethics in AI|Data Analysis|Python|Probability & Statistics,ETH301|DS202,Intermediate,4,1 Semester,FACIL_04,Open,ETH301|FIN201
RES_06,LLM Hallucination Detection via Knowledge Graph Verification,Building continuous validation pipelines that verify LLM responses against structured Databricks Delta graphs.,Natural Language Processing,Prof. Elena Vance,Computer Science,Natural Language Processing|Generative AI|Python|SQL & Relational DBs,AI303,Advanced,6,1 Year,FACIL_02,Open,AI402|CS205
RES_07,Low-Power Neuromorphic Edge Computing Architectures,Benchmarking spiking neural networks on micro-watt embedded hardware for IoT sensors.,Hardware & AI,Prof. David Kova,Electrical Eng,Edge Computing|Robotics & Embedded Systems|Signal Processing,ROB202,Advanced,5,1 Semester,FACIL_05,Open,ROB301
RES_08,Quantitative High-Frequency Market Microstructure Dynamics,Modeling order book dynamics and latency arbitrage strategies using high-dimensional limit order data.,Quantitative Finance,Prof. Victor Sterling,Finance,Quantitative Finance|Probability & Statistics|Python,FIN201|DS202,Advanced,5,2 Semesters,FACIL_04,Open,FIN201
RES_09,Deep Reinforcement Learning for Protein Folding Simulation,Accelerating molecular dynamics simulations using graph neural networks and deep RL.,Computational Biology,Prof. Clara Moreau,Bioinformatics,Bioinformatics|Deep Learning|Python|Reinforcement Learning,BIO210|AI301,Advanced,6,1 Year,FACIL_03,Open,BIO210|AI401
RES_10,Zero-Knowledge Proof Systems for Decentralized Identity,Implementing scalable zk-SNARK protocols to enable privacy-preserving academic credential verification.,Cybersecurity & Blockchain,Prof. Alan Turing-Smith,Computer Science,Cybersecurity Basics|Linear Algebra|TypeScript,CYB301,Advanced,5,1 Semester,FACIL_06,Open,CYB301
RES_11,Autonomous Driving Perception under Adverse Weather,Training robust camera-radar fusion networks for fog and heavy snow navigation.,Computer Vision,Prof. Aris Thorne,Computer Science,Computer Vision|Deep Learning|Python,AI302,Advanced,6,1 Year,FACIL_01,Open,AI302
RES_12,Databricks Delta Live Streaming for Smart Campus IoT,Building sub-second real-time streaming architectures using Spark Streaming and Delta Lake.,Data Engineering,Prof. Elena Vance,Computer Science,Databricks Unity Catalog|Spark & Distributed Data|Python,DE101,Intermediate,5,1 Semester,FACIL_02,Open,DS301
RES_13,Human-Robot Interaction & Intent Recognition,Using computer vision and gesture analysis for collaborative assembly tasks.,Robotics,Prof. David Kova,Mechanical Eng,Robotics & Embedded Systems|Computer Vision|Human-Computer Interaction,ROB201,Intermediate,4,1 Semester,FACIL_05,Open,ROB201
RES_14,Privacy-Preserving Federated Learning for Hospital Data,Training shared diagnostic models across hospital networks without centralized data pooling.,AI & Security,Prof. Marcus Lin,Computer Science,Deep Learning|Cybersecurity Basics|Python,AI301,Advanced,6,1 Year,FACIL_01,Open,AI301|CYB201
RES_15,Quantum Circuit Optimization for Variational Algorithms,Reducing gate depth and noise error in VQE quantum chemical simulations.,Quantum Information,Prof. Richard Feynman-Lee,Physics,Quantum Computing Basics|Linear Algebra|Python,PHYS201,Advanced,5,2 Semesters,FACIL_07,Open,PHYS201
RES_16,Interactive User Interfaces for Explainable AI (XAI),Designing visual analytics dashboards that communicate model uncertainty to non-expert users.,HCI & AI,Prof. Sarah Jenkins,Design & CS,UI/UX Design|Human-Computer Interaction|Data Visualization|Next.js & React,DES201,Intermediate,4,1 Semester,FACIL_04,Open,DES201|CS310
RES_17,Generative AI Code Synthesis & Vulnerability Analysis,Evaluating security vulnerabilities introduced by LLM-generated code snippets in production.,Software Engineering & Security,Prof. Alan Turing-Smith,Computer Science,Generative AI|Cybersecurity Basics|Python|FastAPI,AI303|CS400,Advanced,5,1 Semester,FACIL_06,Open,AI402|CYB201
RES_18,Urban Micro-Climate Modeling via IoT Sensor Networks,Deploying sensor arrays to model heat islands and energy consumption in campus quadrangles.,Environmental Data Science,Prof. Clara Moreau,Environmental Sci,Data Analysis|Python|Data Visualization,DS101,Intermediate,4,1 Semester,FACIL_03,Open,DS450
RES_19,Causal Inference Methods for Educational Interventions,Using observational student pathway data to infer the causal impact of mentorship on graduation.,Data Science & Education,Prof. Victor Sterling,Data Science,Probability & Statistics|Data Analysis|Python,DS202,Intermediate,4,1 Semester,FACIL_04,Open,DS202|MATH301
RES_20,Large-Scale Graph Neural Networks for Drug Discovery,Accelerating small-molecule screening using PyTorch Geometric on GPU clusters.,Bioinformatics & AI,Prof. Marcus Lin,Computer Science,Deep Learning|Bioinformatics|Python,AI301|BIO210,Advanced,6,1 Year,FACIL_01,Open,AI301|BIO210
RES_21,Speech Recognition & NLP for Low-Resource Languages,Building multilingual speech-to-text models using cross-lingual transfer learning.,NLP,Prof. Elena Vance,Computer Science,Natural Language Processing|Deep Learning|Python,AI303,Advanced,5,1 Semester,FACIL_02,Open,AI303
RES_22,High-Throughput Algorithmic Execution in Crypto Markets,Analyzing liquidity dynamics and order slippage in decentralized automated market makers (AMMs).,Fintech,Prof. Victor Sterling,Finance,Quantitative Finance|Backend Architecture|Python,FIN201,Intermediate,4,1 Semester,FACIL_04,Open,FIN201
RES_23,3D Gaussian Splatting for Fast Scene Reconstruction,Reconstructing photorealistic 3D campus spaces from smartphone video capture.,Computer Vision,Prof. Aris Thorne,Computer Science,Computer Vision|Deep Learning|Python,AI302,Advanced,6,1 Year,FACIL_01,Open,AI302
RES_24,Automated Cap Table & Valuation Modeling for Tech Ventures,Creating algorithmic forecasting models for early-stage startup dilution.,Entrepreneurship,Prof. Sarah Jenkins,Business,Entrepreneurship|Product Management|Data Analysis,BUS201,Intermediate,3,1 Semester,FACIL_04,Open,BUS201
RES_25,Hardware-Security Side-Channel Attack Mitigation,Measuring electromagnetic radiation from processors to prevent cryptographic key extraction.,Hardware Security,Prof. David Kova,Electrical Eng,Cybersecurity Basics|Robotics & Embedded Systems|Signal Processing,CS400,Advanced,5,1 Semester,FACIL_05,Open,CS400
RES_26,Event-Driven Microservices Benchmarking on Cloud,"Comparing latency overhead of FastAPI, Rust, and Go backends under heavy load.",Software Engineering,Prof. Alan Turing-Smith,Computer Science,FastAPI|Docker & Containers|Backend Architecture,CS310,Intermediate,4,1 Semester,FACIL_06,Open,CS340
RES_27,Multi-Modal Sentiment Analysis in Video Lectures,"Fusing audio, facial expression, and transcript text for automated student engagement scoring.",AI & Education,Prof. Marcus Lin,Computer Science,Natural Language Processing|Computer Vision|Deep Learning,AI302|AI303,Advanced,5,1 Semester,FACIL_01,Open,AI302|AI303
RES_28,Autonomous Drone Swarm Communication Protocols,Developing decentralized ad-hoc mesh networking for drone flock formation.,Robotics,Prof. David Kova,Electrical Eng,Robotics & Embedded Systems|Algorithm Design|Networking,ROB201,Advanced,6,1 Year,FACIL_05,Open,ROB301
RES_29,Databricks Delta Sharing for Open Academic Data,Building secure zero-copy data exchange pipelines across university research consortia.,Data Engineering,Prof. Elena Vance,Computer Science,Databricks Unity Catalog|Spark & Distributed Data|Cloud Data Pipelines,DE101,Intermediate,4,1 Semester,FACIL_02,Open,DE101
RES_30,LLM-Powered Interactive Coding Tutor Evaluation,Measuring learning outcomes when students pair-program with agentic AI feedback tools.,AI & Education,Prof. Sarah Jenkins,Computer Science,Generative AI|Natural Language Processing|Human-Computer Interaction,AI402,Intermediate,4,1 Semester,FACIL_04,Open,AI402|CS101
