skill_id,skill_name,category,description,beginner_description,intermediate_description,advanced_description
SKILL_01,Python,Technical,Core programming language for data science and web,"Basic syntax, loops, functions","Pandas, NumPy, OOP","Async, Metaprogramming, C-Extensions"
SKILL_02,Machine Learning,Technical,Supervised and unsupervised learning techniques,"Linear regression, Decision Trees","Scikit-Learn, Random Forests, XGBoost","Custom neural networks, Model Tuning"
SKILL_03,Deep Learning,Technical,Neural networks and deep learning architectures,"MLP, Activation functions","PyTorch, Convolutional Networks","Transformers, Diffusion Models, GANs"
SKILL_04,Computer Vision,Technical,Image processing and pattern recognition,"OpenCV basics, edge detection","YOLO, Image Segmentation","3D Vision, Neural Radiance Fields"
SKILL_05,Natural Language Processing,Technical,Text processing and language models,"Regex, NLTK, TF-IDF","SpaCy, Embeddings, Sentiment Analysis","LLM Fine-tuning, RAG, Databricks Genie"
SKILL_06,SQL & Relational DBs,Technical,Querying structured databases,"SELECT, WHERE, JOINs","Subqueries, Aggregations, Indexing","Databricks SQL, Window Functions, Query Optimization"
SKILL_07,Data Analysis,Technical,Extracting insights from raw data,"Data cleaning, Summary statistics","Pandas, Seaborn, Hypothesis testing","A/B Testing, Time Series, Statistical Modeling"
SKILL_08,FastAPI,Technical,Building high-performance Python web APIs,"Routing, Pydantic basics","Async endpoints, CORS, Dependency Injection","Custom Middleware, WebSockets, OAuth2"
SKILL_09,Next.js & React,Technical,Modern full-stack web application development,"JSX, Props, useState","App Router, Server Components, Tailwind","Performance Optimization, Custom Hooks"
SKILL_10,TypeScript,Technical,Typed JavaScript development,"Basic interfaces, type annotations","Generics, Union types, Type Guards","Advanced conditional types, AST transforms"
SKILL_11,Docker & Containers,Technical,Containerization and local infrastructure,"Dockerfile creation, docker run",docker-compose multi-container setup,"Multi-stage builds, Container orchestration"
SKILL_12,Git & GitHub,Technical,Distributed version control and collaboration,"commit, push, pull, branching","Merge conflicts, PR reviews, Rebasing","Git Hooks, GitHub Actions CI/CD"
SKILL_13,Databricks Unity Catalog,Data Engineering,Unified data governance and schema management,"Catalog concepts, Grants","Schema design, Lineage tracking","Cross-workspace governance, Delta Lake integration"
SKILL_14,Spark & Distributed Data,Data Engineering,Large scale data processing,"DataFrames, Transformations","Spark SQL, Catalyst Optimizer","PySpark tuning, Streaming architectures"
SKILL_15,Cybersecurity Basics,Security,Information security and safe coding,"OWASP Top 10, Encryption basics","Penetration testing, Auth protocols","Zero trust architecture, Cryptographic protocols"
SKILL_16,Cloud Computing (AWS/Azure),Infrastructure,Cloud infrastructure services,"S3, EC2 basics","IAM roles, Serverless functions","Terraform IaC, Multi-region deployment"
SKILL_17,Robotics & Embedded Systems,Hardware,Hardware and microcontroller programming,"Arduino, basic circuits","ROS (Robot Operating System), C++","Autonomous navigation, Sensor fusion"
SKILL_18,Bioinformatics,Interdisciplinary,Computational biology and genomics,Sequence alignment,"Biopython, Gene expression analysis","CRISPR modeling, Protein folding prediction"
SKILL_19,Quantitative Finance,Finance,Mathematical modeling for financial markets,"Time series, Stock indicators","Black-Scholes, Monte Carlo simulation",High-frequency trading algorithms
SKILL_20,UI/UX Design,Design,User interface and user experience design,"Wireframing, Color theory","Figma prototyping, Usability testing","Design Systems, Motion graphics design"
SKILL_21,Public Speaking,Soft Skills,Presenting ideas clearly to large audiences,Delivering short lightning talks,"Structuring pitch decks, Q&A handling","Keynote address, Persuasive storytelling"
