club_id,club_name,category,description,interests,skills,hours_per_week,meeting_day,meeting_time,membership_level,related_events
CLUB_01,Artificial Intelligence Student Society,Technology,"Premier student organization for AI enthusiasts, hosting workshops, guest talks, and projects.",AI|Machine Learning|Deep Learning|Python,Python|Machine Learning|Deep Learning|Public Speaking,3,Tuesday,18:00,Open to All,EVT_01|EVT_02|EVT_05
CLUB_02,Competitive Programming & Algorithmic Club,Technology,"Train for ACM-ICPC, LeetCode contests, and technical interview preparation.",Algorithmic Thinking|Coding|Problem Solving,Algorithm Design|Competitive Programming|Problem Solving,3,Wednesday,17:00,Open to All,EVT_03|EVT_04
CLUB_03,Data Science & Analytics League,Technology,"Hands-on data analysis projects, Databricks challenges, and Kaggle competitions.",Data Science|Big Data|Data Viz,Data Analysis|SQL & Relational DBs|Python|Data Visualization,2,Thursday,18:30,Open to All,EVT_06|EVT_07
CLUB_04,Robotics & Autonomous Hardware Lab Club,Engineering,"Build autonomous drones, rover bots, and micro-robotics for regional competitions.",Robotics|Hardware|Embedded Systems,Robotics & Embedded Systems|Edge Computing|Teamwork & Collaboration,4,Saturday,13:00,Active Member,EVT_08|EVT_09
CLUB_05,Campus Student Startup Incubator,Entrepreneurship,"Connect aspiring founders, form hackathon teams, and pitch to venture capital mentors.",Startups|Venture Capital|Product,Entrepreneurship|Venture Pitching|Leadership|Product Management,3,Monday,18:00,Open to All,EVT_10|EVT_11
CLUB_06,Web3 & Distributed Systems Developers,Technology,"Explore blockchain, decentralized applications, and microservice architectures.",Web3|Distributed Systems|Cloud,Backend Architecture|TypeScript|Cybersecurity Basics,2,Friday,16:00,Open to All,EVT_12
CLUB_07,Cybersecurity & Ethical Hacking Guild,Security,Participate in Capture-The-Flag (CTF) competitions and network penetration labs.,Cybersecurity|Hacking|Networking,Cybersecurity Basics|Python|Problem Solving,3,Thursday,17:30,Open to All,EVT_13|EVT_14
CLUB_08,UI/UX & Product Design Collective,Design,"Critique user interfaces, participate in design sprints, and build design portfolios.",Design|Figma|User Experience,UI/UX Design|Human-Computer Interaction|Data Visualization,2,Wednesday,16:30,Open to All,EVT_15
CLUB_09,Undergraduate Research Association,Academic,"Mentorship for undergraduates seeking lab positions, paper writing, and grant applications.",Research|Academia|Grants,Research Methods|Technical Writing|Public Speaking,2,Bi-weekly Tuesday,17:00,Open to All,EVT_16|EVT_17
CLUB_10,Women in Computer Science & Engineering,Diversity & Tech,"Empowering women in technology through mentorship, tech talks, and career networking.",Community|Mentorship|Tech Career,Leadership|Networking|Public Speaking|Python,2,Bi-weekly Monday,17:30,Open to All,EVT_18|EVT_19
CLUB_11,Quantitative Trading & Fintech Association,Finance & Tech,"Build algorithmic trading bots, backtest strategies, and learn market microstructure.",Fintech|Quant|Algorithmic Trading,Quantitative Finance|Probability & Statistics|Python,3,Wednesday,18:00,Open to All,EVT_20
CLUB_12,Open Source Software Contributors Club,Technology,"Contribute to popular open-source projects, learn Git workflows, and build public dev profiles.",Open Source|Git|GitHub,Git & GitHub|TypeScript|Python|Docker & Containers,2,Friday,17:00,Open to All,EVT_21
CLUB_13,Cloud & DevOps Practitioners Student Chapter,Technology,"Learn Docker, Kubernetes, AWS, and modern cloud deployment practices.",Cloud|DevOps|AWS,Docker & Containers|DevOps & CI/CD|Cloud Computing (AWS/Azure),2,Thursday,16:00,Open to All,EVT_22
CLUB_14,Bioinformatics & Computational Biology Society,Interdisciplinary,"Analyze genetic datasets, simulate protein interactions, and present interdisciplinary research.",Genomics|Bioinformatics|Science,Bioinformatics|Data Analysis|Python,2,Monday,16:30,Open to All,EVT_23
CLUB_15,Student Game Developers Guild,Media & Tech,"Create indie games using Unity, Unreal Engine, and custom graphics pipelines.",Game Dev|Graphics|3D,UI/UX Design|Computer Vision|Algorithm Design,3,Saturday,14:00,Open to All,EVT_24
CLUB_16,Ethics in Technology & AI Policy Forum,Humanities & Tech,"Debate AI governance, privacy laws, and algorithm transparency with faculty.",Ethics|Policy|AI Governance,Ethics in AI|Public Speaking|Technical Writing,2,Bi-weekly Wednesday,17:00,Open to All,EVT_25
CLUB_17,Quantum Computing Enthusiasts Group,Advanced Tech,"Study quantum algorithms, run simulations on Qiskit, and host guest speaker events.",Quantum|Physics|Advanced Math,Quantum Computing Basics|Linear Algebra,2,Friday,15:00,Open to All,EVT_26
CLUB_18,Full-Stack Web Developers Alliance,Technology,Build end-to-end web apps for campus organizations and non-profits.,Web Dev|Next.js|APIs,Next.js & React|TypeScript|FastAPI|UI/UX Design,3,Tuesday,17:30,Open to All,EVT_27
CLUB_19,Toastmasters Campus Public Speaking Club,Soft Skills,"Practice impromptu speaking, formal presentations, and leadership evaluation.",Public Speaking|Communication|Leadership,Public Speaking|Leadership|Networking,2,Thursday,18:00,Open to All,EVT_28
CLUB_20,CleanTech & Environmental Data Initiative,Sustainability,Apply data science and sensor networks to monitor energy consumption on campus.,Sustainability|Data|Clean Energy,Data Analysis|Python|Data Visualization,2,Wednesday,16:00,Open to All,EVT_29
CLUB_21,Product Management Student Network,Business & Tech,"Work on real case studies, feature specs, and prepare for APM interview loops.",Product|Strategy|UX,Product Management|UI/UX Design|Data Analysis,2,Monday,18:30,Open to All,EVT_30
