opportunity_id,title,type,organization,description,skills,eligibility,prerequisites,hours_per_week,duration,deadline,location,career_domains
OPP_01,Databricks Summer AI & Data Engineering Fellowship,Industry Fellowship,Databricks University Team,3-month paid summer fellowship building GenAI pipelines and Delta Lake architectures.,Databricks Unity Catalog|Python|Generative AI|SQL & Relational DBs,Junior or Senior status,DE101|AI201,10,12 weeks summer,2026-11-30,"San Francisco, CA / Remote",AI Engineering|Data Engineering
OPP_02,OpenAI Undergraduate Research Residency,Fellowship,OpenAI Institute,Mentored research position working directly with OpenAI scientists on alignment and reasoning.,Deep Learning|Generative AI|Python|Research Methods,Proven AI research experience,AI301|AI303,15,6 months,2026-11-15,"San Francisco, CA",AI Research|Machine Learning
OPP_03,Google Summer of Code (GSoC) Developer,Industry Program,Google / Open Source Org,Paid global program writing code for major open-source software organizations.,Python|TypeScript|Git & GitHub|Docker & Containers,Enrolled student,CS101|CS102,20,12 weeks,2027-01-15,Remote,Software Engineering|Open Source
OPP_04,Meta AI Computer Vision Internship,Internship,Meta Reality Labs,Build next-generation perception and 3D reconstruction models for AR/VR hardware.,Computer Vision|Deep Learning|Python,Enrolled CS/ECE student,AI302,40,12 weeks summer,2026-12-01,"Menlo Park, CA",Computer Vision|AI Engineering
OPP_05,National Science Foundation (NSF) REU Fellowship,Scholarship,NSF / University AI Lab,Paid summer undergraduate research experience in autonomous robotics and AI safety.,Research Methods|Technical Writing|Python|Public Speaking,US Citizen / Permanent Resident,None,35,10 weeks,2027-01-30,On-Campus Lab,Academic Research|Robotics
OPP_06,"Campus Student Startup Seed Grant ($25,000)",Startup Program,Campus Venture Fund,"Non-dilutive seed capital, office space, and mentor network for promising student founders.",Entrepreneurship|Venture Pitching|Leadership|Product Management,Active student team,BUS101,10,1 Academic Year,2026-10-31,Campus Innovation Hub,Entrepreneurship|Venture Capital
OPP_07,Goldman Sachs Quantitative Engineering Internship,Internship,Goldman Sachs Technology,Develop high-frequency trading models and risk analysis systems on distributed clusters.,Quantitative Finance|Probability & Statistics|Python|SQL & Relational DBs,Strong math/CS background,FIN201|DS202,40,10 weeks summer,2026-11-01,"New York, NY",Quantitative Finance|Fintech
OPP_08,Microsoft Quantum Computing Summer Internship,Internship,Microsoft Quantum,Implement quantum algorithms and error mitigation on Azure Quantum simulation hardware.,Quantum Computing Basics|Linear Algebra|Python,Physics or CS major,PHYS201,40,12 weeks summer,2026-12-15,"Redmond, WA",Quantum Computing|Physics
OPP_09,Tesla Autopilot Perception Software Internship,Internship,Tesla Motors,Work on real-time neural network inference and camera perception for self-driving vehicles.,Computer Vision|Deep Learning|C++|Python,Senior or Grad student,AI302|ROB301,40,12 weeks,2026-11-20,"Palo Alto, CA",Autonomous Vehicles|Robotics
OPP_10,Databricks Hackathon Challenge Winner Prize,Competition,Databricks & Campus AI Club,"$5,000 cash prize and guaranteed final round interview for Databricks engineering.",Databricks Unity Catalog|Generative AI|FastAPI|Next.js & React,Participate in EVT_01,AI101,5,1 Weekend,2026-10-15,Campus Innovation Center,AI Engineering|Software Engineering
OPP_11,Apple Software Engineering Internship (iOS/Full-Stack),Internship,Apple Inc.,"Develop customer-facing features for Apple platforms using Swift, TypeScript, and modern APIs.",TypeScript|Next.js & React|Backend Architecture,Enrolled CS student,CS310,40,12 weeks summer,2026-12-05,"Cupertino, CA",Software Engineering
