event_id,event_name,event_type,description,date,duration_hours,location,organizer,skills,related_clubs,related_courses,registration_required
EVT_01,Annual Campus AI Hackathon 2026,Hackathon,48-hour intensive building competition to create innovative AI applications.,2026-10-15,48,Innovation Center Makerspace,AI Student Society & Databricks,Python|Machine Learning|Generative AI|FastAPI|Teamwork & Collaboration,CLUB_01,AI101|AI201,Yes
EVT_02,Hands-On Deep Learning with PyTorch Workshop,Workshop,Practical tutorial on building CNNs and Transformers from scratch.,2026-09-20,3,Computer Science Lab 3,AI Student Society,Deep Learning|Python,CLUB_01,AI301,Yes
EVT_03,Algorithmic Speed Challenge & Contest,Competition,Timed coding contest featuring data structures and dynamic programming.,2026-09-28,4,Online / HackerRank,Competitive Programming Club,Algorithm Design|Competitive Programming|Problem Solving,CLUB_02,CS102,No
EVT_04,Tech Interview Code Sprint,Workshop,Mock interview sessions focusing on system design and LeetCode hard problems.,2026-10-02,2,CS Auditorium,Competitive Programming Club,Algorithm Design|Public Speaking|Problem Solving,CLUB_02,CS102,No
EVT_05,Databricks & LLM Fine-Tuning Masterclass,Tech Talk,"Guest lecture by industry engineers on Databricks Genie, Delta Lake, and RAG.",2026-10-10,2,Engineering Quad Hall A,AI Student Society,Generative AI|Databricks Unity Catalog|Natural Language Processing,CLUB_01,AI303|DE101,Yes
EVT_06,Data Analytics Sprint with Databricks SQL,Workshop,Learn to query large scale datasets and build interactive dashboards.,2026-09-25,3,Data Science Lab 101,Data Science League,SQL & Relational DBs|Databricks Unity Catalog|Data Visualization,CLUB_03,CS205|DE101,Yes
EVT_07,Kaggle Grandmaster Fireside Chat,Seminar,Insights into winning machine learning competitions and feature engineering.,2026-10-05,2,Virtual Zoom,Data Science League,Machine Learning|Data Analysis,CLUB_03,AI201,No
EVT_08,Robotics Autonomy Field Demo,Tech Talk,Live outdoor demo of autonomous rover obstacle avoidance and vision SLAM.,2026-10-18,3,Campus Athletic Field,Robotics Lab Club,Robotics & Embedded Systems|Computer Vision,CLUB_04,ROB201,No
EVT_09,Micro-Drone Building & Soldering Workshop,Workshop,Assemble your own FPV drone hardware and program flight controllers.,2026-10-22,4,Makerspace Hardware Hub,Robotics Lab Club,Robotics & Embedded Systems|Edge Computing,CLUB_04,ROB201,Yes
EVT_10,Campus Venture Pitch Night,Competition,Student startup teams present pitch decks to local angel investors for $10k prizes.,2026-11-01,3,Business School Auditorium,Student Startup Incubator,Venture Pitching|Entrepreneurship|Public Speaking,CLUB_05,BUS101,Yes
