facility_id,name,type,description,location,available_hours,equipment,skills_supported,related_courses,related_clubs,related_research
FACIL_01,Campus Artificial Intelligence Research Lab,Research Facility,High-performance GPU cluster lab with 64x NVIDIA A100 GPUs for deep learning research.,Computer Science Building 4th Floor,24/7 Access for approved researchers,NVIDIA A100 GPUs|PyTorch Cluster|High-speed InfiniBand,Deep Learning|Computer Vision|Natural Language Processing|Python,AI301|AI302|AI303,CLUB_01,RES_01|RES_03|RES_04|RES_11|RES_14|RES_20
FACIL_02,Databricks & Data Engineering Innovation Center,Data Hub,"Dedicated center for distributed data processing, Delta Lake streaming, and Databricks Genie experimentation.",Data Science Building Room 201,08:00 - 22:00 Daily,Databricks Workspace Access|Spark Cluster|Interactive Touch Displays,Databricks Unity Catalog|Spark & Distributed Data|SQL & Relational DBs,DE101|DS301,CLUB_03,RES_02|RES_06|RES_12|RES_29
FACIL_03,Interdisciplinary Biotechnology & Genomics Center,Biological Lab,"DNA sequencers, fluorescence microscopes, and high-throughput compute nodes.",Biotech Complex Building B,09:00 - 20:00 Weekdays,Illumina Sequencers|Bioinformatics Workstations|Clean Room,Bioinformatics|Data Analysis|Python,BIO210,CLUB_14,RES_09|RES_18
FACIL_04,Quantitative Finance & Financial Technology Hub,Finance Lab,Dual-monitor trading terminals with Bloomberg Professional and real-time exchange data feeds.,Business School 3rd Floor,07:30 - 21:00 Weekdays,Bloomberg Terminals|Refinitiv Eikon|Python Quant Libraries,Quantitative Finance|Probability & Statistics|Python,FIN201,CLUB_11,RES_05|RES_08|RES_16|RES_19|RES_22|RES_24|RES_30
FACIL_05,"Robotics, Autonomy & Hardware Makerspace",Robotics Lab,"3D printers, laser cutters, soldering stations, motion capture arena, and drone test cage.",Engineering Quad Building 1,24/7 Keycard Access,OptiTrack Motion Capture|CNC Mill|3D Printers|Oscilloscopes,Robotics & Embedded Systems|Edge Computing|C++,ROB201|ROB301,CLUB_04,RES_07|RES_13|RES_25|RES_28
FACIL_06,Cybersecurity & Network Operations Security Center,Cyber Lab,Isolated network testing lab with hardware firewalls and air-gapped target virtual machines.,Computer Science Building Basement,08:00 - 23:00 Daily,Air-gapped Cyber Range|Wireshark Hardware Probes|Blade Servers,Cybersecurity Basics|Python|FastAPI,CS400|CYB201|CYB301,CLUB_07,RES_10|RES_17|RES_26
FACIL_07,Quantum Computing & Advanced Physics Simulator Lab,Physics Lab,Cryogenic hardware interface and quantum circuit simulation workstation cluster.,Physics Hall Room 105,09:00 - 19:00 Weekdays,Qiskit Quantum Workstations|Dilution Refrigerator Interface,Quantum Computing Basics|Linear Algebra,PHYS201,CLUB_17,RES_15
FACIL_08,Human-Computer Interaction & Usability Lab,Design Studio,"Eye-tracking headsets, one-way observation mirrors, and mobile device usability testing rigs.",Design Center 2nd Floor,09:00 - 18:00 Weekdays,Tobii Eye Trackers|Figma Pro Workstations|User Testing Sound Booth,UI/UX Design|Human-Computer Interaction|Data Visualization,DES101|DES201,CLUB_08,RES_16
FACIL_09,Student Startup Incubation Hub,Co-Working Space,"Open co-working desks, private pitch presentation rooms, and prototype display area.",Student Union Annex 3rd Floor,24/7 Access,Pitch Presentation Displays|Podcasting Studio|Mentor Meeting Rooms,Entrepreneurship|Venture Pitching|Product Management,BUS101|BUS202,CLUB_05,RES_24
FACIL_10,Main University Science & Engineering Library,Study & Resource Hub,"Quiet study zones, research literature databases, and high-speed scanner stations.",Central Campus Library,24/7 Daily,ArXiv / IEEE Full Text Access|Quiet Study Pods|Bookable Team Rooms,Research Methods|Technical Writing|Public Speaking,ENG101|ENG201,CLUB_09,RES_01|RES_02
FACIL_11,Cloud DevOps & Distributed Systems Lab,Server Room,Rack-mounted servers for hosting student web services and Kubernetes test clusters.,CS Building Room 302,08:00 - 22:00 Daily,Dell PowerEdge Rack Servers|10Gbps Ethernet Switch,Docker & Containers|DevOps & CI/CD|Backend Architecture,CS320|CS340,CLUB_13,RES_26
FACIL_12,Open Source Software Community Lounge,Collaboration Space,"Casual lounge with whiteboards, beanbags, and monitor stations for pair programming.",Student Center 2nd Floor,08:00 - 24:00 Daily,Dual Monitor Workstations|Whiteboard Walls|Free Coffee,Git & GitHub|Python|TypeScript,CS101|CS310,CLUB_12,RES_26
FACIL_13,Clean Energy & Environmental IoT Field Station,Field Station,Rooftop solar monitoring array and weather sensor stations connected via LoRaWAN.,Environmental Science Roof,08:00 - 18:00 Weekdays,LoRaWAN Gateway|Solar Pyranometers|Weather Stations,Data Analysis|Python|Robotics & Embedded Systems,DS450,CLUB_20,RES_18
FACIL_14,Toastmasters Speech & Media Recording Studio,Media Studio,Acoustic treated studio with teleprompter and high-definition video recording cameras.,Student Center Room 104,09:00 - 20:00 Weekdays,Teleprompter|4K Cameras|Studio Lighting,Public Speaking|Leadership,ENG201,CLUB_19,None
FACIL_15,Competitive Coding Arena,Computer Lab,Dual-screen computers loaded with competitive programming IDEs and offline documentation.,CS Building Room 101,08:00 - 23:00 Daily,High Refresh Rate Monitors|Mechanical Keyboards|Local Judge Server,Algorithm Design|Competitive Programming|Problem Solving,CS102,CLUB_02,None
