city_event_id,name,type,description,date,location,skills,organization,distance_from_campus,registration_url
CITY_01,Metro Tech Summit 2026,Conference,Annual city tech conference featuring keynotes from industry CTOs and startup founders.,2026-10-22,Downtown Convention Center,Public Speaking|Networking|Leadership,Metro Tech Council,2.5,https://metrotechsummit.example.com
CITY_02,City AI & ML Developer Meetup,Meetup,Monthly informal gathering for local machine learning engineers and researchers.,2026-09-18,TechHub Downtown Coworking,Machine Learning|Python|Generative AI,City AI Group,3.0,https://cityaimeetup.example.com
CITY_03,Downtown Civic Hackathon: Open Data Challenge,Hackathon,36-hour hackathon utilizing city open data to improve public transit and urban sustainability.,2026-10-09,City Hall Innovation Lab,Data Analysis|Python|Next.js & React|SQL & Relational DBs,City Digital Office,1.8,https://civichack.example.com
CITY_04,Databricks User Group Regional Meetup,Meetup,Local Databricks community meetup presenting real-world Delta Lake case studies.,2026-10-04,Databricks Regional Office,Databricks Unity Catalog|Spark & Distributed Data|SQL & Relational DBs,Databricks Community,4.2,https://databricksusergroup.example.com
CITY_05,Venture Capital & Angel Investor Showcase,Career Event,Pitching event matching local tech startups with accredited angel investors.,2026-11-12,Financial District Club,Venture Pitching|Entrepreneurship|Networking,Metro Angels Network,3.5,https://metroangels.example.com
CITY_06,Cybersecurity Professionals Networking Night,Networking Event,"After-hours mixer for CISOs, security analysts, and aspiring ethical hackers.",2026-09-29,The Speakeasy Lounge Downtown,Cybersecurity Basics|Networking,ISSA Local Chapter,2.8,https://issacity.example.com
CITY_07,Python Developer Guild Monthly Workshop,Meetup,Hands-on coding session covering async FastAPI and Python 3.12 features.,2026-10-13,Innovation Warehouse,Python|FastAPI|Backend Architecture,Python Guild,2.0,https://pythonguildcity.example.com
CITY_08,UI/UX Product Design Expo,Conference,"Showcasing modern design systems, accessibility tools, and interactive prototypes.",2026-10-27,Design Museum Gallery,UI/UX Design|Human-Computer Interaction,Designers Guild,1.5,https://uxdesignexpo.example.com
CITY_09,CleanTech Innovation Pitch Forum,Innovation Event,Presenting renewable energy prototypes to municipal sustainability leaders.,2026-11-03,Green Energy Building,Entrepreneurship|Data Visualization,CleanTech Metro,4.0,https://cleantechmetro.example.com
CITY_10,Women in Data Science (WiDS) Regional Conference,Conference,"Inspiring conference featuring women leaders in data science, AI, and analytics.",2026-10-16,University Grand Ballroom,Data Analysis|Machine Learning|Leadership|Networking,WiDS Ambassador Team,0.5,https://widscity.example.com
