relationship_id,source_type,source_id,relationship_type,target_type,target_id,weight
REL_0001,COURSE,CS101,TEACHES,SKILL,SKILL_01,1.0
REL_0002,COURSE,CS101,TEACHES,SKILL,SKILL_27,1.0
REL_0003,COURSE,CS102,TEACHES,SKILL,SKILL_37,1.0
REL_0004,COURSE,CS102,TEACHES,SKILL,SKILL_27,1.0
REL_0005,COURSE,AI101,TEACHES,SKILL,SKILL_01,1.0
REL_0006,COURSE,AI101,TEACHES,SKILL,SKILL_02,1.0
REL_0007,COURSE,AI101,TEACHES,SKILL,SKILL_37,1.0
REL_0008,COURSE,AI201,TEACHES,SKILL,SKILL_01,1.0
REL_0009,COURSE,AI201,TEACHES,SKILL,SKILL_02,1.0
REL_0010,COURSE,AI201,TEACHES,SKILL,SKILL_07,1.0
REL_0011,COURSE,AI201,TEACHES,SKILL,SKILL_35,1.0
REL_0012,COURSE,AI301,TEACHES,SKILL,SKILL_03,1.0
REL_0013,COURSE,AI301,TEACHES,SKILL,SKILL_01,1.0
REL_0014,COURSE,AI301,TEACHES,SKILL,SKILL_34,1.0
REL_0015,COURSE,AI301,TEACHES,SKILL,SKILL_36,1.0
REL_0016,COURSE,AI302,TEACHES,SKILL,SKILL_04,1.0
REL_0017,COURSE,AI302,TEACHES,SKILL,SKILL_03,1.0
REL_0018,COURSE,AI302,TEACHES,SKILL,SKILL_01,1.0
REL_0019,COURSE,AI303,TEACHES,SKILL,SKILL_05,1.0
REL_0020,COURSE,AI303,TEACHES,SKILL,SKILL_32,1.0
REL_0021,COURSE,AI303,TEACHES,SKILL,SKILL_03,1.0
REL_0022,COURSE,AI303,TEACHES,SKILL,SKILL_01,1.0
REL_0023,COURSE,AI401,TEACHES,SKILL,SKILL_31,1.0
REL_0024,COURSE,AI401,TEACHES,SKILL,SKILL_01,1.0
REL_0025,COURSE,AI401,TEACHES,SKILL,SKILL_35,1.0
REL_0026,COURSE,CS205,TEACHES,SKILL,SKILL_06,1.0
REL_0027,COURSE,CS205,TEACHES,SKILL,SKILL_39,1.0
REL_0028,COURSE,CS310,TEACHES,SKILL,SKILL_09,1.0
REL_0029,COURSE,CS310,TEACHES,SKILL,SKILL_10,1.0
REL_0030,COURSE,CS310,TEACHES,SKILL,SKILL_08,1.0
REL_0031,COURSE,CS310,TEACHES,SKILL,SKILL_20,1.0
REL_0032,COURSE,CS320,TEACHES,SKILL,SKILL_11,1.0
REL_0033,COURSE,CS320,TEACHES,SKILL,SKILL_33,1.0
REL_0034,COURSE,CS320,TEACHES,SKILL,SKILL_16,1.0
REL_0035,COURSE,CS400,TEACHES,SKILL,SKILL_15,1.0
REL_0036,COURSE,CS400,TEACHES,SKILL,SKILL_27,1.0
REL_0037,COURSE,DE101,TEACHES,SKILL,SKILL_13,1.0
REL_0038,COURSE,DE101,TEACHES,SKILL,SKILL_14,1.0
REL_0039,COURSE,DE101,TEACHES,SKILL,SKILL_06,1.0
REL_0040,COURSE,DE101,TEACHES,SKILL,SKILL_01,1.0
REL_0041,COURSE,DS202,TEACHES,SKILL,SKILL_35,1.0
REL_0042,COURSE,DS202,TEACHES,SKILL,SKILL_07,1.0
REL_0043,COURSE,DS202,TEACHES,SKILL,SKILL_01,1.0
REL_0044,COURSE,MATH201,TEACHES,SKILL,SKILL_34,1.0
REL_0045,COURSE,MATH202,TEACHES,SKILL,SKILL_36,1.0
REL_0046,COURSE,ROB201,TEACHES,SKILL,SKILL_17,1.0
REL_0047,COURSE,ROB201,TEACHES,SKILL,SKILL_27,1.0
REL_0048,COURSE,ROB301,TEACHES,SKILL,SKILL_49,1.0
REL_0049,COURSE,ROB301,TEACHES,SKILL,SKILL_17,1.0
REL_0050,COURSE,ROB301,TEACHES,SKILL,SKILL_04,1.0
REL_0051,COURSE,BUS101,TEACHES,SKILL,SKILL_26,1.0
REL_0052,COURSE,BUS101,TEACHES,SKILL,SKILL_47,1.0
REL_0053,COURSE,BUS101,TEACHES,SKILL,SKILL_23,1.0
REL_0054,COURSE,BUS202,TEACHES,SKILL,SKILL_30,1.0
REL_0055,COURSE,BUS202,TEACHES,SKILL,SKILL_20,1.0
REL_0056,COURSE,BUS202,TEACHES,SKILL,SKILL_24,1.0
REL_0057,COURSE,ETH301,TEACHES,SKILL,SKILL_41,1.0
REL_0058,COURSE,ETH301,TEACHES,SKILL,SKILL_24,1.0
REL_0059,COURSE,ETH301,TEACHES,SKILL,SKILL_21,1.0
REL_0060,COURSE,FIN201,TEACHES,SKILL,SKILL_19,1.0
REL_0061,COURSE,FIN201,TEACHES,SKILL,SKILL_35,1.0
REL_0062,COURSE,FIN201,TEACHES,SKILL,SKILL_01,1.0
REL_0063,COURSE,BIO210,TEACHES,SKILL,SKILL_18,1.0
REL_0064,COURSE,BIO210,TEACHES,SKILL,SKILL_01,1.0
REL_0065,COURSE,BIO210,TEACHES,SKILL,SKILL_07,1.0
REL_0066,COURSE,CS102,REQUIRES,COURSE,CS101,0.9
REL_0067,COURSE,AI101,REQUIRES,COURSE,CS101,0.9
REL_0068,COURSE,AI201,REQUIRES,COURSE,AI101,0.9
REL_0069,COURSE,AI301,REQUIRES,COURSE,AI201,0.9
REL_0070,COURSE,AI302,REQUIRES,COURSE,AI301,0.9
REL_0071,COURSE,AI303,REQUIRES,COURSE,AI301,0.9
REL_0072,COURSE,AI401,REQUIRES,COURSE,AI201,0.9
REL_0073,COURSE,CS205,REQUIRES,COURSE,CS102,0.9
REL_0074,COURSE,CS310,REQUIRES,COURSE,CS101,0.9
REL_0075,COURSE,CS320,REQUIRES,COURSE,CS102,0.9
REL_0076,COURSE,DE101,REQUIRES,COURSE,CS205,0.9
REL_0077,COURSE,ROB301,REQUIRES,COURSE,ROB201,0.9
REL_0078,CLUB,CLUB_01,DEVELOPS,SKILL,SKILL_01,0.8
REL_0079,CLUB,CLUB_01,DEVELOPS,SKILL,SKILL_02,0.8
REL_0080,CLUB,CLUB_01,DEVELOPS,SKILL,SKILL_03,0.8
REL_0081,CLUB,CLUB_01,DEVELOPS,SKILL,SKILL_21,0.8
REL_0082,CLUB,CLUB_02,DEVELOPS,SKILL,SKILL_37,0.8
REL_0083,CLUB,CLUB_02,DEVELOPS,SKILL,SKILL_45,0.8
REL_0084,CLUB,CLUB_02,DEVELOPS,SKILL,SKILL_27,0.8
REL_0085,CLUB,CLUB_03,DEVELOPS,SKILL,SKILL_07,0.8
REL_0086,CLUB,CLUB_03,DEVELOPS,SKILL,SKILL_06,0.8
REL_0087,CLUB,CLUB_03,DEVELOPS,SKILL,SKILL_01,0.8
REL_0088,CLUB,CLUB_03,DEVELOPS,SKILL,SKILL_48,0.8
REL_0089,CLUB,CLUB_04,DEVELOPS,SKILL,SKILL_17,0.8
REL_0090,CLUB,CLUB_04,DEVELOPS,SKILL,SKILL_49,0.8
REL_0091,CLUB,CLUB_04,DEVELOPS,SKILL,SKILL_28,0.8
REL_0092,CLUB,CLUB_05,DEVELOPS,SKILL,SKILL_26,0.8
REL_0093,CLUB,CLUB_05,DEVELOPS,SKILL,SKILL_47,0.8
REL_0094,CLUB,CLUB_05,DEVELOPS,SKILL,SKILL_23,0.8
REL_0095,CLUB,CLUB_05,DEVELOPS,SKILL,SKILL_30,0.8
REL_0096,CLUB,CLUB_07,DEVELOPS,SKILL,SKILL_15,0.8
REL_0097,CLUB,CLUB_07,DEVELOPS,SKILL,SKILL_01,0.8
REL_0098,CLUB,CLUB_07,DEVELOPS,SKILL,SKILL_27,0.8
REL_0099,CLUB,CLUB_08,DEVELOPS,SKILL,SKILL_20,0.8
REL_0100,CLUB,CLUB_08,DEVELOPS,SKILL,SKILL_44,0.8
REL_0101,CLUB,CLUB_08,DEVELOPS,SKILL,SKILL_48,0.8
REL_0102,CLUB,CLUB_09,DEVELOPS,SKILL,SKILL_29,0.8
REL_0103,CLUB,CLUB_09,DEVELOPS,SKILL,SKILL_24,0.8
REL_0104,CLUB,CLUB_09,DEVELOPS,SKILL,SKILL_21,0.8
REL_0105,CLUB,CLUB_11,DEVELOPS,SKILL,SKILL_19,0.8
REL_0106,CLUB,CLUB_11,DEVELOPS,SKILL,SKILL_35,0.8
REL_0107,CLUB,CLUB_11,DEVELOPS,SKILL,SKILL_01,0.8
REL_0108,CLUB,CLUB_12,DEVELOPS,SKILL,SKILL_12,0.8
REL_0109,CLUB,CLUB_12,DEVELOPS,SKILL,SKILL_10,0.8
REL_0110,CLUB,CLUB_12,DEVELOPS,SKILL,SKILL_01,0.8
REL_0111,CLUB,CLUB_12,DEVELOPS,SKILL,SKILL_11,0.8
REL_0112,CLUB,CLUB_13,DEVELOPS,SKILL,SKILL_11,0.8
REL_0113,CLUB,CLUB_13,DEVELOPS,SKILL,SKILL_40,0.8
REL_0114,CLUB,CLUB_13,DEVELOPS,SKILL,SKILL_16,0.8
REL_0115,CLUB,CLUB_18,DEVELOPS,SKILL,SKILL_09,0.8
REL_0116,CLUB,CLUB_18,DEVELOPS,SKILL,SKILL_10,0.8
REL_0117,CLUB,CLUB_18,DEVELOPS,SKILL,SKILL_08,0.8
REL_0118,CLUB,CLUB_18,DEVELOPS,SKILL,SKILL_20,0.8
REL_0119,CLUB,CLUB_01,ORGANIZES,EVENT,EVT_01,1.0
REL_0120,CLUB,CLUB_01,ORGANIZES,EVENT,EVT_02,1.0
REL_0121,CLUB,CLUB_01,ORGANIZES,EVENT,EVT_05,1.0
REL_0122,CLUB,CLUB_02,ORGANIZES,EVENT,EVT_03,1.0
REL_0123,CLUB,CLUB_02,ORGANIZES,EVENT,EVT_04,1.0
REL_0124,CLUB,CLUB_03,ORGANIZES,EVENT,EVT_06,1.0
REL_0125,CLUB,CLUB_03,ORGANIZES,EVENT,EVT_07,1.0
REL_0126,CLUB,CLUB_04,ORGANIZES,EVENT,EVT_08,1.0
REL_0127,CLUB,CLUB_04,ORGANIZES,EVENT,EVT_09,1.0
REL_0128,CLUB,CLUB_05,ORGANIZES,EVENT,EVT_10,1.0
REL_0129,CLUB,CLUB_05,ORGANIZES,EVENT,EVT_11,1.0
REL_0130,CLUB,CLUB_07,ORGANIZES,EVENT,EVT_13,1.0
REL_0131,CLUB,CLUB_08,ORGANIZES,EVENT,EVT_15,1.0
REL_0132,CLUB,CLUB_09,ORGANIZES,EVENT,EVT_16,1.0
REL_0133,CLUB,CLUB_11,ORGANIZES,EVENT,EVT_20,1.0
REL_0134,CLUB,CLUB_18,ORGANIZES,EVENT,EVT_27,1.0
REL_0135,EVENT,EVT_01,DEVELOPS,SKILL,SKILL_01,0.7
REL_0136,EVENT,EVT_01,DEVELOPS,SKILL,SKILL_02,0.7
REL_0137,EVENT,EVT_01,DEVELOPS,SKILL,SKILL_32,0.7
REL_0138,EVENT,EVT_01,DEVELOPS,SKILL,SKILL_08,0.7
REL_0139,EVENT,EVT_01,DEVELOPS,SKILL,SKILL_28,0.7
REL_0140,EVENT,EVT_02,DEVELOPS,SKILL,SKILL_03,0.7
REL_0141,EVENT,EVT_02,DEVELOPS,SKILL,SKILL_01,0.7
REL_0142,EVENT,EVT_03,DEVELOPS,SKILL,SKILL_37,0.7
REL_0143,EVENT,EVT_03,DEVELOPS,SKILL,SKILL_45,0.7
REL_0144,EVENT,EVT_05,DEVELOPS,SKILL,SKILL_32,0.7
REL_0145,EVENT,EVT_05,DEVELOPS,SKILL,SKILL_13,0.7
REL_0146,EVENT,EVT_05,DEVELOPS,SKILL,SKILL_05,0.7
REL_0147,EVENT,EVT_06,DEVELOPS,SKILL,SKILL_06,0.7
REL_0148,EVENT,EVT_06,DEVELOPS,SKILL,SKILL_13,0.7
REL_0149,EVENT,EVT_06,DEVELOPS,SKILL,SKILL_48,0.7
